canonical_name,confederation,elo_code,elo_rating,fifa_rank,fifa_points,form_points,form_max,form_matches,market_value_total,market_value_avg,avg_age,top_player,top_player_value,pct_top5_leagues,wc_exp_raw,elo_n,fifa_n,form_n,value_n,value_avg_n,top5_n,age_n,wc_exp_n
Spain,UEFA,ES,2157,1,1875.37,42.0,54.0,20,1439000000.0,55346153.85,24.54,Lamine Yamal,180000000.0,0.9615,24.68505081313945,1.0,1.0,0.7777777777777778,0.8515925377376838,0.8515925378586785,0.9615,0.8868760918039537,0.6063865032876218
Argentina,CONMEBOL,AR,2115,3,1870.32,36.5,49.5,20,859000000.0,33038461.54,25.54,Lautaro Martínez,100000000.0,0.7692,36.088240079333204,0.9429347826086957,0.9916684539620214,0.7373737373737373,0.5045105695435573,0.5045105696037229,0.7692,0.9716107671891226,0.8865050299942214
France,UEFA,FR,2063,2,1870.92,39.5,54.0,20,1404000000.0,54000000.0,24.31,Kylian Mbappé,160000000.0,0.8846,39.14831684320991,0.8722826086956522,0.9926583406199994,0.7314814814814815,0.8306479362087279,0.8306479362683767,0.8846,0.8608128816022138,0.9616755962889928
England,UEFA,EN,2024,4,1820.44,44.0,51.0,20,1687000000.0,64884615.38,24.77,Jude Bellingham,180000000.0,0.9615,25.604596558899022,0.8192934782608695,0.9093758764621453,0.8627450980392157,1.0,1.0,0.9615,0.9107124032796596,0.6289750786000677
Brazil,CONMEBOL,BR,1991,6,1761.6,29.0,49.5,20,1347000000.0,51807692.31,24.62,Vinicius Junior,200000000.0,0.8846,40.708443672979996,0.7744565217391305,0.8123009915364691,0.5858585858585859,0.7965381565758568,0.7965381566689613,0.8846,0.8954311006252471,1.0
Portugal,UEFA,PT,1989,5,1779.55,39.0,54.0,20,1081000000.0,41576923.08,25.31,Rúben Dias,75000000.0,0.6154,18.763697786366677,0.7717391304347826,0.8419151007209675,0.7222222222222222,0.6373591849557919,0.637359185049434,0.6154,0.9567117591570787,0.46092889075051957
Colombia,CONMEBOL,CO,1982,13,1692.1,24.0,48.0,20,361300000.0,13896153.85,25.69,Luis Díaz,85000000.0,0.3077,11.281353468077977,0.7622282608695652,0.6976391203207233,0.5,0.20667833580180422,0.2066783358764875,0.3077,0.9797056348896251,0.2771256390616061
Netherlands,UEFA,NL,1948,7,1754.17,34.5,54.0,20,986000000.0,37923076.92,24.5,Xavi Simons,80000000.0,0.9231,30.011951151064498,0.7160326086956522,0.8000428950885127,0.6388888888888888,0.5805095522343402,0.5805095522281533,0.9231,0.8824969025845955,0.737241428145895
Ecuador,CONMEBOL,EC,1938,24,1588.04,28.0,48.0,20,282700000.0,10873076.92,23.85,Moisés Caicedo,80000000.0,0.1923,7.393088604856107,0.7024456521739131,0.5259597776054642,0.5833333333333334,0.15964274493963468,0.15964274490322525,0.1923,0.802957795457551,0.1816106914881452
Germany,UEFA,DE,1932,12,1704.27,39.0,54.0,20,963000000.0,37038461.54,25.62,Jamal Musiala,140000000.0,0.9615,36.31795784295406,0.6942934782608695,0.7177173213667036,0.7222222222222222,0.5667459569438834,0.5667459570085182,0.9615,0.9760904721403704,0.8921480303866272
