wpi_rank,canonical_name,confederation,wpi,elo_n,fifa_n,form_n,value_n,value_avg_n,top5_n,age_n,wc_exp_n
1,Spain,UEFA,0.8951755232888624,0.9863574351978172,1.0,0.7777777777777778,0.8515925377376838,0.8515925378586785,0.9615,0.8868760918039537,0.6063865032876218
2,France,UEFA,0.8930551813713609,0.9263301500682128,0.9926583406199994,0.7870370370370371,0.8306479362087279,0.8306479362683767,0.8846,0.8608128816022138,0.9616755962889928
3,England,UEFA,0.8805143917845183,0.8417462482946794,0.9093758764621452,0.8235294117647058,1.0,1.0,0.9615,0.9107124032796596,0.6289750786000677
4,Argentina,CONMEBOL,0.8321383345862197,1.0,0.9916684539620214,0.7373737373737373,0.5045105695435573,0.5045105696037229,0.7692,0.9716107671891226,0.8865050299942214
5,Brazil,CONMEBOL,0.7997740046827317,0.8158253751705321,0.8123009915364691,0.6060606060606061,0.7965381565758568,0.7965381566689613,0.8846,0.8954311006252471,1.0
6,Netherlands,UEFA,0.7457518869141475,0.7762619372442019,0.8000428950885127,0.6759259259259259,0.5805095522343402,0.5805095522281533,0.9231,0.8824969025845955,0.737241428145895
7,Germany,UEFA,0.7307629640789722,0.6889495225102319,0.7177173213667036,0.7037037037037037,0.5667459569438834,0.5667459570085182,0.9615,0.9760904721403704,0.8921480303866272
8,Portugal,UEFA,0.7217328516062079,0.7871759890859482,0.8419151007209675,0.6851851851851852,0.6373591849557919,0.637359185049434,0.6154,0.9567117591570788,0.4609288907505195
9,Belgium,UEFA,0.6192378097124821,0.6248294679399727,0.7759061587448238,0.5370370370370371,0.3372529659051808,0.3372529659533356,0.8077,0.9567117591570788,0.5892735589411653
10,Croatia,UEFA,0.6107478426280559,0.6616643929058663,0.734099945556234,0.6666666666666666,0.1990185958140717,0.1990185957685216,0.7692,0.986883653917413,0.5292647914500609
11,Morocco,CAF,0.5961490430481696,0.635743519781719,0.7210169435599625,0.8095238095238095,0.2588603144682315,0.2588603144868203,0.5769,0.9389317369690666,0.2532412564493164
