fifa_rank,fifa_name,country_code,fifa_points,confederation,ranking_date
1,Spain,ESP,1875.37,UEFA,2025-09-18T07:45:00+00:00
2,France,FRA,1870.92,UEFA,2025-09-18T07:45:00+00:00
3,Argentina,ARG,1870.32,CONMEBOL,2025-09-18T07:45:00+00:00
4,England,ENG,1820.44,UEFA,2025-09-18T07:45:00+00:00
5,Portugal,POR,1779.55,UEFA,2025-09-18T07:45:00+00:00
6,Brazil,BRA,1761.6,CONMEBOL,2025-09-18T07:45:00+00:00
7,Netherlands,NED,1754.17,UEFA,2025-09-18T07:45:00+00:00
8,Belgium,BEL,1739.54,UEFA,2025-09-18T07:45:00+00:00
9,Croatia,CRO,1714.2,UEFA,2025-09-18T07:45:00+00:00
10,Italy,ITA,1710.06,UEFA,2025-09-18T07:45:00+00:00
11,Morocco,MAR,1706.27,CAF,2025-09-18T07:45:00+00:00
12,Germany,GER,1704.27,UEFA,2025-09-18T07:45:00+00:00
13,Colombia,COL,1692.1,CONMEBOL,2025-09-18T07:45:00+00:00
14,Mexico,MEX,1688.38,CONCACAF,2025-09-18T07:45:00+00:00
15,Uruguay,URU,1673.65,CONMEBOL,2025-09-18T07:45:00+00:00
16,USA,USA,1670.04,CONCACAF,2025-09-18T07:45:00+00:00
17,Switzerland,SUI,1648.3,UEFA,2025-09-18T07:45:00+00:00
18,Senegal,SEN,1645.23,CAF,2025-09-18T07:45:00+00:00
19,Japan,JPN,1640.47,AFC,2025-09-18T07:45:00+00:00
20,Denmark,DEN,1627.64,UEFA,2025-09-18T07:45:00+00:00
21,IR Iran,IRN,1622.61,AFC,2025-09-18T07:45:00+00:00
22,Austria,AUT,1601.86,UEFA,2025-09-18T07:45:00+00:00
23,Korea Republic,KOR,1593.19,AFC,2025-09-18T07:45:00+00:00
24,Ecuador,ECU,1588.04,CONMEBOL,2025-09-18T07:45:00+00:00
25,Australia,AUS,1583.49,AFC,2025-09-18T07:45:00+00:00
26,Canada,CAN,1558.04,CONCACAF,2025-09-18T07:45:00+00:00
27,Türkiye,TUR,1555.72,UEFA,2025-09-18T07:45:00+00:00
28,Ukraine,UKR,1543.06,UEFA,2025-09-18T07:45:00+00:00
29,Panama,PAN,1529.71,CONCACAF,2025-09-18T07:45:00+00:00
30,Wales,WAL,1529.09,UEFA,2025-09-18T07:45:00+00:00
31,Norway,NOR,1526.23,UEFA,2025-09-18T07:45:00+00:00
32,Sweden,SWE,1524.62,UEFA,2025-09-18T07:45:00+00:00
33,Russia,RUS,1521.74,UEFA,2025-09-18T07:45:00+00:00
34,Serbia,SRB,1520.9,UEFA,2025-09-18T07:45:00+00:00
35,Egypt,EGY,1519.18,CAF,2025-09-18T07:45:00+00:00
36,Poland,POL,1517.3,UEFA,2025-09-18T07:45:00+00:00
37,Paraguay,PAR,1501.01,CONMEBOL,2025-09-18T07:45:00+00:00
38,Algeria,ALG,1500.74,CAF,2025-09-18T07:45:00+00:00
39,Czechia,CZE,1500.29,UEFA,2025-09-18T07:45:00+00:00
40,Greece,GRE,1494.72,UEFA,2025-09-18T07:45:00+00:00
41,Hungary,HUN,1492.18,UEFA,2025-09-18T07:45:00+00:00
42,Slovakia,SVK,1491.87,UEFA,2025-09-18T07:45:00+00:00
43,Scotland,SCO,1485.08,UEFA,2025-09-18T07:45:00+00:00
44,Côte d'Ivoire,CIV,1483.9,CAF,2025-09-18T07:45:00+00:00
45,Nigeria,NGA,1483.86,CAF,2025-09-18T07:45:00+00:00
46,Tunisia,TUN,1483.02,CAF,2025-09-18T07:45:00+00:00
47,Costa Rica,CRC,1481.13,CONCACAF,2025-09-18T07:45:00+00:00
48,Peru,PER,1469.31,CONMEBOL,2025-09-18T07:45:00+00:00
49,Venezuela,VEN,1465.02,CONMEBOL,2025-09-18T07:45:00+00:00
50,Slovenia,SVN,1462.96,UEFA,2025-09-18T07:45:00+00:00
51,Romania,ROU,1462.85,UEFA,2025-09-18T07:45:00+00:00
52,Cameroon,CMR,1455.42,CAF,2025-09-18T07:45:00+00:00
53,Qatar,QAT,1453.65,AFC,2025-09-18T07:45:00+00:00
54,Uzbekistan,UZB,1453.31,AFC,2025-09-18T07:45:00+00:00
